Tournament,Stage,Match Type,Map,Agent,Pick Rate
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,neon,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,jett,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,killjoy,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,harbor,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,sova,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,viper,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,cypher,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,fade,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,yoru,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,raze,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,neon,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,killjoy,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,breach,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,phoenix,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Sunset,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,omen,80%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,sova,53%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,fade,43%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,viper,40%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,raze,40%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,yoru,37%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,cypher,33%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,jett,27%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,vyse,23%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,kayo,20%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,gekko,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,neon,13%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,killjoy,13%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,chamber,10%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,deadlock,10%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,breach,7%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,sage,7%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,brimstone,7%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,astra,7%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,iso,3%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,phoenix,3%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,skye,3%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,tejo,3%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,All Maps,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,sova,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,fade,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,viper,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,raze,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,yoru,38%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,cypher,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,jett,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,vyse,38%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,kayo,63%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,neon,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,killjoy,13%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,chamber,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,sova,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,fade,83%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,viper,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,raze,83%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,yoru,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,cypher,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,vyse,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,neon,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,killjoy,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,breach,17%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,omen,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,sova,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,fade,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,viper,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,raze,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,yoru,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,cypher,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,vyse,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,gekko,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,neon,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,killjoy,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,deadlock,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,brimstone,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,astra,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,skye,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,tejo,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,sova,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,fade,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,viper,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,raze,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,yoru,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,cypher,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,gekko,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,neon,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,killjoy,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,chamber,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,deadlock,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Corrode,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,sova,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,fade,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,viper,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,raze,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,yoru,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,cypher,75%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,kayo,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,neon,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,killjoy,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,deadlock,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,phoenix,25%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,omen,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,sova,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,fade,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,viper,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,raze,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,yoru,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,cypher,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,jett,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,neon,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,killjoy,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,breach,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,sage,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,iso,50%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,waylay,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,omen,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,sova,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,fade,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,viper,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,raze,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,yoru,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,cypher,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,jett,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,vyse,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,kayo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,gekko,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,neon,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,killjoy,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,chamber,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,deadlock,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,breach,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,sage,100%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,brimstone,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,astra,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,iso,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,phoenix,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,skye,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,tejo,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,harbor,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,reyna,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,clove,0%
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Icebox,waylay,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,omen,80%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,sova,54%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,viper,46%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,cypher,40%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,fade,39%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,yoru,32%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,raze,30%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,jett,24%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,kayo,24%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,neon,23%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,killjoy,17%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,gekko,14%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,vyse,13%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,breach,12%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,deadlock,10%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,astra,8%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,brimstone,7%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,iso,6%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,chamber,5%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,sage,4%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,tejo,4%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,phoenix,3%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,skye,3%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,waylay,2%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,harbor,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,clove,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,All Maps,reyna,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,omen,100%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,sova,89%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,viper,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,cypher,56%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,fade,11%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,yoru,36%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,raze,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,jett,78%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,kayo,64%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,neon,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,killjoy,11%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,gekko,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,vyse,22%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,breach,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,deadlock,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,astra,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,brimstone,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,iso,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,chamber,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,sage,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,tejo,11%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,phoenix,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,skye,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,waylay,3%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,harbor,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,clove,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Ascent,reyna,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,omen,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,sova,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,viper,92%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,cypher,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,fade,61%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,yoru,22%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,raze,72%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,jett,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,kayo,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,neon,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,killjoy,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,gekko,58%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,vyse,11%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,breach,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,deadlock,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,astra,42%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,brimstone,39%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,iso,6%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,chamber,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,sage,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,tejo,14%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,phoenix,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,skye,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,waylay,6%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,harbor,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,clove,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,reyna,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,omen,100%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,sova,72%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,viper,22%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,cypher,72%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,fade,28%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,yoru,28%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,raze,28%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,jett,0%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,kayo,19%
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,neon,61%
