tournament,stage,match_type,match_name,map,elimination,detonated,defused,time_expiry_no_plant,eliminated,defused_failed,detonation_denied,time_expiry_failed_to_plant,team_id
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Lotus,12,1,3,0,11,1,4,2,14137
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Pearl,10,0,2,1,6,0,3,0,188
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,4,0,5,0,6,0,6,1,11058
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Abyss,1,0,2,0,8,3,2,0,918
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Pearl,7,1,0,0,11,0,1,1,878
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Haven,9,1,3,0,3,2,0,0,11058
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Haven,2,5,1,1,6,4,3,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,Lotus,8,1,3,1,4,1,2,1,2
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Bind,6,1,2,1,10,1,2,0,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,8,0,5,0,2,1,0,0,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Lotus,9,0,4,0,7,0,1,0,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Ascent,6,0,2,0,9,1,3,0,17
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Ascent,9,1,3,0,6,0,2,0,466
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Haven,2,0,2,0,12,1,0,0,624
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Haven,2,2,0,0,13,0,0,0,12010
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Split,5,2,1,1,8,2,3,0,12064
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Icebox,8,4,1,0,8,1,1,1,120
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Abyss,10,0,2,1,4,0,0,0,474
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,10,1,2,0,7,0,1,0,14
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,FunPlus Phoenix vs Titan Esports Club,Abyss,7,2,2,0,9,1,3,0,11328
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,9,3,1,0,0,0,1,0,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven,7,4,2,0,0,0,1,4,188
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus,4,2,4,0,6,2,4,1,188
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Ascent,7,1,1,0,10,2,0,1,2059
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Corrode,12,1,1,0,7,0,3,2,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,Icebox,9,1,2,1,3,1,2,1,278
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,Corrode,9,3,1,0,2,0,0,0,278
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,TALON vs Paper Rex,Bind,6,1,0,0,12,0,1,0,8304
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Corrode,6,2,2,0,6,3,4,0,8304
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Lotus,7,1,4,0,10,1,3,0,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Ascent,5,2,1,0,11,1,0,1,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Lotus,4,0,0,0,10,0,3,0,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,Fracture,5,0,3,0,8,2,3,0,278
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Icebox,11,1,1,0,4,2,1,0,12010
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,10,1,2,0,5,2,1,0,624
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Lotus,9,0,2,0,9,2,2,0,8185
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,Fracture,8,4,1,0,6,0,1,0,5248
VCT 2025: China Kickoff,Main Event,Lower Round 4,Dragon Ranger Gaming vs EDward Gaming,Haven,12,1,0,0,0,0,0,0,1120
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,7,3,3,0,4,0,1,0,2593
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Sunset,1,2,0,0,7,0,6,0,2406
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Sunset,6,1,1,1,7,2,4,0,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,9,2,1,1,7,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Ascent,9,0,4,1,5,2,5,0,12694
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,Icebox,9,3,1,0,1,0,2,0,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,Ascent,11,0,2,0,6,0,2,1,14
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Icebox,10,1,2,0,4,1,1,0,12694
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Icebox,6,1,6,0,4,1,2,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Icebox,8,3,2,0,7,3,0,0,624
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Fracture,2,0,1,0,9,0,4,0,624
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Fracture,12,0,1,0,6,1,1,0,1120
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Split,10,2,1,0,3,1,2,1,7386
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,6,3,4,0,3,4,3,0,4915
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Lotus,3,1,2,2,9,1,2,1,7386
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Ascent,8,2,2,1,4,1,2,0,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Icebox,3,0,0,0,7,0,6,0,466
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Icebox,7,0,6,0,3,0,0,0,8304
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Bind,2,3,3,0,9,2,2,0,878
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Corrode,5,0,1,0,12,1,0,0,13790
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Haven,6,1,2,1,10,0,3,0,12010
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Split,8,1,4,0,7,0,2,1,5448
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Lotus,0,1,4,0,10,1,0,2,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Fracture,0,0,2,0,7,5,1,0,878
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Pearl,7,1,4,1,3,4,1,0,13581
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Icebox,9,1,2,1,4,4,0,0,7386
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Lotus,7,2,1,0,9,1,3,0,2359
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Icebox,4,0,3,1,10,1,2,0,2359
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Bind,7,1,4,1,4,1,2,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Bind,8,0,5,0,0,1,0,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,Sunset,6,1,3,0,8,0,4,1,6961
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Haven,11,2,0,0,3,0,0,0,17
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,Corrode,6,0,2,0,12,0,1,0,5448
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,Lotus,11,0,2,0,3,1,2,0,14
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Corrode,3,1,0,5,6,1,4,2,12064
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Icebox,11,1,1,0,4,4,1,0,8877
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Ascent,2,1,2,0,9,0,3,1,11060
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Pearl,10,0,3,0,4,2,2,0,12010
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,Pearl,9,3,1,0,9,0,2,0,15072
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Abyss,6,1,3,1,9,1,2,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,6,1,3,0,9,2,2,0,8877
VCT 2025: China Kickoff,Main Event,Upper Round 1,TYLOO vs Titan Esports Club,Abyss,6,2,4,1,6,1,3,0,14137
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,8,0,2,1,10,1,2,0,624
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Corrode,10,1,4,0,11,0,2,0,11058
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Ascent,7,4,2,0,3,0,1,0,2355
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Sunset,10,2,1,0,6,5,0,0,878
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,Pearl,9,2,2,0,1,1,4,0,397
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,Haven,9,1,3,0,5,3,2,0,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Pearl,8,0,4,1,1,0,4,0,6199
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,7,1,1,0,7,3,3,0,8304
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind,7,1,4,1,6,3,1,0,120
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Bind,8,2,2,1,3,0,1,1,120
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Haven,9,2,2,1,6,4,2,0,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Sunset,5,1,0,1,11,1,1,0,624
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Pearl,5,0,2,3,8,2,3,0,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Haven,9,2,1,0,7,2,5,0,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Split,6,4,2,1,9,1,1,0,12694
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Fracture,5,1,1,1,8,2,3,0,13581
VCT 2025: China Kickoff,Main Event,Lower Round 1,Dragon Ranger Gaming vs TYLOO,Pearl,8,2,3,0,5,1,0,0,11981
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,9,0,4,0,3,2,0,0,624
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,10,0,2,1,3,0,1,0,14419
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus,7,0,1,0,7,2,4,0,12010
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Icebox,9,0,4,0,1,1,0,0,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Icebox,1,1,0,0,9,0,4,0,2359
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Sunset,5,0,5,0,7,1,5,0,474
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Ascent,10,0,2,1,2,0,0,0,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 3,BOOM Esports vs DetonatioN FocusMe,Lotus,6,0,3,1,6,2,5,0,466
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,Ascent,10,2,0,1,9,1,0,0,11060
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Split,9,1,2,1,11,0,4,0,624
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Ascent,6,1,4,2,7,0,2,0,8304
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,Fracture,11,1,1,0,3,1,3,0,1120
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Fracture,11,0,1,1,4,4,6,1,12010
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,Lotus,6,1,6,0,3,0,3,1,2355
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,6,0,1,0,7,1,5,0,474
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,9,0,4,0,3,0,1,0,2
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset,3,0,1,2,10,1,2,0,14419
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Split,7,0,1,5,4,0,3,1,11060
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Ascent,10,0,3,0,2,2,0,0,624
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Pearl,9,0,3,1,4,1,0,0,12064
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,7,2,3,0,8,1,5,0,397
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Lotus,3,0,2,0,11,0,2,0,5448
VCT 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,3,0,1,0,9,0,4,0,11058
VCT 2025: China Kickoff,Main Event,Lower Round 1,Titan Esports Club vs JDG Esports,Fracture,8,0,1,0,10,0,2,1,14137
VCT 2025: China Kickoff,Main Event,Grand Final,Trace Esports vs EDward Gaming,Abyss,13,0,3,0,9,3,2,0,1120
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,7,3,3,0,2,1,2,0,
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,Bind,6,4,2,1,8,0,2,0,474
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Haven,4,0,3,0,7,5,1,0,878
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Ascent,9,2,2,0,5,0,0,0,11981
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Corrode,12,1,0,0,5,0,1,0,12064
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,Haven,9,2,2,0,6,3,2,0,13790
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Split,9,1,2,1,5,2,1,0,120
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Haven,8,0,1,0,9,2,1,1,2
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Abyss,9,2,2,0,5,2,1,0,278
VCT 2025: China Kickoff,Main Event,Grand Final,Trace Esports vs EDward Gaming,Lotus,10,2,2,0,11,0,1,0,12685
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,3,3,2,1,8,1,3,1,13581
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,3,2,2,1,11,0,2,0,624
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind,2,1,1,0,10,0,2,1,2406
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox,6,3,4,0,7,1,2,1,2593
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,Sunset,8,2,2,1,5,1,3,1,1119
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,12,0,1,0,1,1,1,0,624
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,Lotus,12,1,0,0,6,1,0,0,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,Lotus,6,1,3,0,5,4,3,1,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Icebox,11,0,2,0,7,1,1,0,6199
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Lotus,8,1,1,1,10,1,2,0,12685
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,10,0,3,0,6,0,0,0,12694
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Lotus,10,0,3,0,6,1,2,0,6199
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Sunset,7,3,3,0,6,1,3,0,2
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Lotus,7,2,4,0,5,0,6,0,8877
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Haven,6,4,3,0,3,5,2,0,12064
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,Sunset,10,0,1,2,6,0,5,0,13576
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Ascent,8,1,4,0,6,2,2,1,17
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Lotus,1,0,1,0,11,1,1,0,14419
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,Haven,8,2,1,0,8,2,3,0,397
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,9,1,2,1,3,3,0,0,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Pearl,3,2,2,0,11,1,1,0,8304
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Split,2,4,2,2,11,1,0,1,120
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Icebox,8,0,5,0,9,2,4,0,188
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,7,3,3,2,13,2,2,0,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Ascent,9,3,0,0,7,4,3,0,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Ascent,11,0,2,0,6,1,1,1,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,Lotus,11,1,2,0,8,1,3,0,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,Icebox,3,2,2,0,6,2,5,0,8185
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Lotus,7,0,1,0,9,0,4,0,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,Split,9,1,3,0,7,0,1,1,474
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Pearl,8,3,2,0,6,1,1,0,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Lotus,4,1,3,1,5,4,3,1,4915
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,FNATIC vs FUT Esports,Lotus,6,4,3,0,2,0,1,3,2593
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Pearl,4,2,2,0,10,0,3,0,13581
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,5,2,1,0,10,1,2,0,5448
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Icebox,7,2,4,0,6,2,3,0,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,10,2,1,0,1,0,0,2,4915
VCT 2025: China Stage 2,Group Stage,Week 2,Trace Esports vs EDward Gaming,Sunset,9,0,4,0,5,0,3,0,12685
VCT 2025: China Stage 2,Group Stage,Week 2,Xi Lai Gaming vs Wolves Esports,Lotus,5,0,3,0,9,1,3,0,13790
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,Sunset,6,0,5,0,10,0,1,2,14137
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Vitality vs FNATIC,Haven,9,2,2,0,6,3,1,0,2593
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Icebox,9,1,4,0,9,0,3,0,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Haven,2,0,4,0,10,2,1,0,6199
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Lotus,8,0,5,0,3,1,4,1,878
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Lotus,5,1,1,0,7,3,3,0,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,10,0,3,0,7,1,2,1,11058
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Ascent,7,3,3,0,5,0,3,0,11058
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Haven,6,2,4,0,12,0,1,1,878
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Bind,10,0,2,1,6,1,0,2,2
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,Bind,6,1,6,0,4,0,1,0,2355
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Bilibili Gaming vs Xi Lai Gaming,Haven,6,2,3,0,9,0,4,0,12010
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Bilibili Gaming vs Xi Lai Gaming,Haven,9,0,4,0,6,2,3,0,13581
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Bind,9,3,1,0,4,0,0,0,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,1,0,3,0,10,0,3,0,7035
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,Icebox,10,0,2,1,4,3,1,0,278
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,9,0,0,0,10,1,2,0,17
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,2,1,0,0,8,0,5,0,397
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Ascent,12,0,0,1,0,1,0,0,14137
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Split,3,1,0,0,9,1,2,1,2
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind,11,2,2,0,9,1,3,0,474
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Abyss,8,0,4,1,7,0,7,1,
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Bind,8,2,3,0,4,1,2,0,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Ascent,3,0,1,0,10,0,2,1,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Icebox,6,3,4,0,6,0,2,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,Ascent,7,1,3,2,4,2,1,0,1001
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Sunset,7,2,2,0,6,5,2,0,878
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Haven,5,1,2,0,11,2,0,0,11981
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Haven,11,2,0,0,5,1,2,0,12010
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Sunset,8,1,2,0,9,3,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Icebox,4,1,1,0,10,1,2,0,474
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Lotus,5,1,4,0,6,2,5,0,4915
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Lotus,6,2,5,0,5,1,3,0,624
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,Fracture,10,0,3,0,4,0,1,0,12010
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Ascent,4,1,3,0,9,2,1,1,7386
VCT 2025: Americas Kickoff,Main Event,Upper Final,Sentinels vs G2 Esports,Abyss,4,3,0,0,8,3,2,0,2
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,EDward Gaming vs Nova Esports,Fracture,8,1,1,0,9,2,2,0,12064
