tournament,stage,match_type,match_name,action,map,team_id
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,ban,Corrode,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,ban,Sunset,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,pick,Sunset,397
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,ban,Bind,278
VCT 2025: China Stage 2,Group Stage,Week 1,All Gamers vs Xi Lai Gaming,ban,Haven,13581
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,pick,Icebox,731
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,ban,Icebox,13790
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,ban,Lotus,397
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,ban,Fracture,11060
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,ban,Ascent,11981
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,ban,Split,11981
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,pick,Lotus,13581
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,ban,Lotus,474
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,pick,Haven,8185
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,ban,Bind,878
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,ban,Lotus,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,ban,Corrode,624
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,pick,Sunset,7386
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,ban,Haven,474
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,pick,Icebox,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,pick,Lotus,17
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,ban,Haven,624
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,pick,Lotus,13581
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,ban,Ascent,
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,pick,Bind,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,ban,Haven,7035
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,ban,Bind,
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,pick,Lotus,2059
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Gen.G vs Nongshim RedForce,ban,Icebox,11060
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,ban,Haven,2
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,ban,Ascent,2593
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,pick,Haven,397
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,ban,Split,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,pick,Lotus,5448
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,ban,Pearl,624
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,ban,Haven,11981
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,pick,Pearl,7386
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,ban,Abyss,14
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,pick,Split,2059
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,ban,Abyss,1001
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,ban,Bind,14419
VCT 2025: China Stage 2,Group Stage,Week 1,Bilibili Gaming vs TYLOO,pick,Bind,731
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,ban,Sunset,731
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,ban,Pearl,878
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Vitality vs Natus Vincere,ban,Fracture,4915
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,pick,Haven,17
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,ban,Fracture,12064
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,pick,Fracture,14137
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,pick,Fracture,188
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,ban,Haven,7386
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,ban,Ascent,2406
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,ban,Pearl,2359
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,pick,Abyss,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,ban,Bind,7035
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,ban,Split,878
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,pick,Haven,
VCT 2025: China Kickoff,Main Event,Upper Round 1,All Gamers vs Nova Esports,ban,Fracture,1119
VCT 2025: China Kickoff,Main Event,Lower Round 1,Dragon Ranger Gaming vs TYLOO,pick,Haven,11981
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,pick,Abyss,1120
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,ban,Sunset,
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,ban,Corrode,188
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,ban,Haven,474
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,ban,Bind,11060
VCT 2025: China Stage 2,Group Stage,Week 4,All Gamers vs FunPlus Phoenix,ban,Lotus,11328
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,pick,Icebox,1119
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,ban,Lotus,624
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,pick,Fracture,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,ban,Lotus,12694
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,ban,Lotus,8877
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,ban,Haven,11981
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,ban,Split,
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,pick,Split,188
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,pick,Ascent,2359
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,ban,Lotus,120
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,ban,Fracture,2
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,ban,Fracture,1184
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,ban,Ascent,2
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,ban,Corrode,120
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,pick,Icebox,4915
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,ban,Sunset,278
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,EDward Gaming vs Dragon Ranger Gaming,pick,Corrode,1120
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,ban,Ascent,2593
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Team Liquid vs BBL Esports,ban,Pearl,474
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,pick,Fracture,466
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,pick,Split,12064
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,ban,Icebox,
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,ban,Icebox,6961
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,pick,Fracture,120
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,ban,Icebox,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,pick,Lotus,5248
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,pick,Lotus,14419
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,pick,Split,11060
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,pick,Ascent,8185
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,ban,Sunset,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,pick,Corrode,5248
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,ban,Bind,6961
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,ban,Icebox,1184
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,ban,Icebox,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,pick,Lotus,8185
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,ban,Lotus,14
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,pick,Lotus,11981
VCT 2025: EMEA Stage 1,Group Stage,Week 3,KOI vs BBL Esports,ban,Haven,7035
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,ban,Icebox,278
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,NRG vs Cloud9,ban,Abyss,
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,ban,Sunset,13581
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,ban,Lotus,6961
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,ban,Sunset,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,ban,Haven,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Rex Regum Qeon vs Nongshim RedForce,ban,Sunset,11060
VCT 2025: Pacific Stage 2,Group Stage,Week 2,DRX vs Team Secret,pick,Corrode,6199
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,ban,Corrode,624
VCT 2025: China Stage 2,Playoffs,Lower Round 3,EDward Gaming vs Xi Lai Gaming,ban,Ascent,13581
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,ban,Pearl,2593
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,ban,Split,878
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,ban,Fracture,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,ban,Lotus,466
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,ban,Haven,12064
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,ban,Icebox,12685
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,pick,Abyss,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,pick,Abyss,1001
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,ban,Split,11060
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,ban,Haven,8304
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,ban,Icebox,120
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,ban,Bind,878
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,TALON vs Paper Rex,ban,Ascent,8304
VCT 2025: China Stage 2,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,ban,Sunset,12064
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,ban,Fracture,8877
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,ban,Haven,624
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,ban,Split,11479
VCT 2025: China Kickoff,Main Event,Lower Final,Bilibili Gaming vs EDward Gaming,ban,Abyss,1120
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,ban,Bind,1001
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,ban,Corrode,2359
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,ban,Lotus,466
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,ban,Pearl,17
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,pick,Icebox,7386
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,pick,Ascent,13790
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,ban,Split,17
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,ban,Lotus,8304
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,pick,Fracture,12064
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,ban,Icebox,12685
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,ban,Ascent,731
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,pick,Icebox,13790
VCT 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,pick,Haven,7386
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,pick,Bind,2059
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,pick,Haven,6961
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,ban,Corrode,14419
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Gen.G,pick,Ascent,878
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,ban,Icebox,14
VCT 2025: China Stage 2,Group Stage,Week 3,FunPlus Phoenix vs Dragon Ranger Gaming,ban,Lotus,11328
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,pick,Ascent,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,ban,Fracture,2593
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,ban,Split,278
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,ban,Ascent,624
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,ban,Icebox,11981
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,ban,Haven,8877
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,pick,Fracture,878
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,NRG vs Cloud9,ban,Pearl,
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,ban,Abyss,1001
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,ban,Lotus,120
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,pick,Corrode,2406
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,ban,Icebox,
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,pick,Corrode,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,ban,Haven,2593
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,pick,Haven,1001
VCT 2025: China Stage 2,Group Stage,Week 2,JDG Esports vs Bilibili Gaming,ban,Lotus,13576
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,pick,Corrode,1119
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,ban,Lotus,474
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,ban,Split,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,ban,Split,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,BOOM Esports vs Paper Rex,ban,Icebox,466
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,pick,Pearl,878
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,ban,Icebox,12010
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,ban,Ascent,14137
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,ban,Icebox,11981
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,pick,Pearl,2406
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,pick,Icebox,7386
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,pick,Bind,2355
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,ban,Sunset,2593
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,ban,Lotus,120
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,ban,Sunset,397
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,ban,Haven,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,ban,Bind,2059
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,ban,Sunset,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 4,DRX vs Global Esports,ban,Haven,918
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,ban,Sunset,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,pick,Lotus,7035
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,ban,Icebox,397
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,pick,Haven,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,ban,Fracture,8185
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,ban,Ascent,1119
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,ban,Fracture,2
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,ban,Pearl,6961
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,pick,Abyss,8185
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,pick,Abyss,474
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,ban,Bind,14
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,ban,Pearl,2059
VCT 2025: China Kickoff,Main Event,Grand Final,Trace Esports vs EDward Gaming,ban,Haven,12685
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,ban,Icebox,15072
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,ban,Haven,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,pick,Lotus,2593
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,pick,Icebox,4915
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,pick,Corrode,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,pick,Icebox,624
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,ban,Sunset,11060
VCT 2025: China Stage 2,Group Stage,Week 3,TYLOO vs EDward Gaming,ban,Icebox,1120
VCT 2025: China Stage 2,Group Stage,Week 4,Dragon Ranger Gaming vs Xi Lai Gaming,ban,Corrode,13581
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,pick,Split,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,pick,Haven,1001
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,ban,Lotus,4915
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,pick,Haven,11981
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,ban,Haven,2355
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,ban,Fracture,2
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,pick,Ascent,11058
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,ban,Fracture,14
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,ban,Split,1001
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,ban,Lotus,14
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,pick,Haven,14
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,pick,Lotus,624
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,pick,Lotus,624
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,pick,Sunset,7386
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,pick,Lotus,7386
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,pick,Ascent,11058
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,ban,Icebox,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,ban,Bind,
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,ban,Haven,474
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,pick,Bind,11060
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,pick,Pearl,12010
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,ban,Pearl,14419
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,ban,Abyss,878
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,pick,Abyss,278
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,ban,Sunset,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,pick,Haven,188
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,ban,Icebox,188
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,ban,Ascent,120
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,pick,Ascent,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,ban,Haven,5248
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,ban,Lotus,2359
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,ban,Lotus,8185
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs T1,pick,Ascent,14
VCT 2025: EMEA Stage 1,Group Stage,Week 5,GIANTX vs Apeks,pick,Ascent,14419
VCT 2025: China Stage 1,Group Stage,Week 2,Nova Esports vs EDward Gaming,ban,Lotus,1120
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,pick,Lotus,2
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,ban,Lotus,2593
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,ban,Ascent,878
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,ban,Icebox,120
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,ban,Lotus,14419
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,pick,Ascent,397
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Gen.G vs Team Secret,ban,Sunset,17
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,ban,Ascent,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,ban,Icebox,5448
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,pick,Lotus,11981
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,ban,Ascent,1119
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,ban,Icebox,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,pick,Split,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,ban,Ascent,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,ban,Fracture,1001
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Team Heretics vs Team Liquid,pick,Ascent,474
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,ban,Pearl,17
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,ban,Haven,1119
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,pick,Lotus,13581
