tournament,stage,match_type,match_name,map,team_a,team_a_score,team_a_attacker_score,team_a_defender_score,team_a_overtime_score,team_b,team_b_score,team_b_attacker_score,team_b_defender_score,team_b_overtime_score,duration
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,FURIA vs Evil Geniuses,Abyss,FURIA,7,5,2,0,Evil Geniuses,13,6,7,0,1:00:42
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,9,7,2,0,MIBR,13,8,5,0,47:01
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent,Mega Minors,8,4,4,0,FNATIC,13,5,8,0,52:47
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Fracture,Gen.G,6,1,5,0,Rex Regum Qeon,13,2,11,0,49:04
VCT 2025: Americas Kickoff,Main Event,Lower Round 4,MIBR vs KRÜ Esports,Abyss,MIBR,13,8,5,0,KRÜ Esports,8,4,4,0,46:51
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Corrode,Team Liquid,11,3,8,0,GIANTX,13,4,9,0,52:49
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,Icebox,TALON,6,5,1,0,Rex Regum Qeon,13,6,7,0,46:30
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Lotus,Gen.G,7,2,5,0,G2 Esports,13,3,10,0,42:11
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Ascent,G2 Esports,13,8,5,0,FURIA,7,3,4,0,46:33
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Lotus,Team Liquid,7,5,2,0,Sentinels,13,6,7,0,53:41
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Pearl,Team Liquid,11,3,8,0,Apeks,13,4,9,0,56:15
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind,Team Heretics,13,5,8,0,GIANTX,9,2,7,0,45:33
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Haven,LEVIATÁN,13,9,4,0,KRÜ Esports,8,5,3,0,47:17
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Bind,Team Liquid,14,7,5,2,FNATIC,12,7,5,0,59:24
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,Team World,13,9,4,0,Glory Once Again,8,5,3,0,1:00:55
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Icebox,Team Liquid,11,4,7,0,Natus Vincere,13,5,8,0,1:09:34
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Nongshim RedForce vs Rex Regum Qeon,Pearl,Nongshim RedForce,13,5,8,0,Rex Regum Qeon,10,3,7,0,1:04:29
VCT 2025: Pacific Stage 2,Group Stage,Week 2,TALON vs DetonatioN FocusMe,Icebox,TALON,8,7,1,0,DetonatioN FocusMe,13,8,5,0,49:18
VCT 2025: China Stage 2,Group Stage,Week 1,Wolves Esports vs FunPlus Phoenix,Corrode,Wolves Esports,7,2,5,0,FunPlus Phoenix,13,3,10,0,49:28
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Apeks vs Natus Vincere,Haven,Apeks,11,4,7,0,Natus Vincere,13,5,8,0,1:04:08
VCT 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Lotus,T1,13,5,8,0,Team Secret,8,1,7,0,46:09
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,Fracture,TYLOO,13,4,9,0,Titan Esports Club,10,2,8,0,1:08:08
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,Team Liquid,13,11,2,0,KOI,3,2,1,0,36:44
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven,FNATIC,13,2,11,0,DRX,11,1,10,0,1:00:52
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Ascent,Team Heretics,11,6,5,0,BBL Esports,13,7,6,0,50:46
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,Sunset,All Gamers,13,6,7,0,FunPlus Phoenix,10,4,6,0,1:11:01
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Split,Team Liquid,13,8,5,0,KOI,5,1,4,0,40:07
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,Pearl,All Gamers,4,4,0,0,JDG Esports,13,5,8,0,42:25
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Haven,G2 Esports,13,10,3,0,LEVIATÁN,7,5,2,0,44:09
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,T1,13,6,7,0,Gen.G,8,2,6,0,41:54
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,G2 Esports vs LEVIATÁN,Fracture,G2 Esports,13,8,5,0,LEVIATÁN,9,5,4,0,48:43
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Lotus,100 Thieves,2,2,0,0,LEVIATÁN,13,3,10,0,35:11
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Haven,Mega Minors,10,4,6,0,Cloud9,13,5,8,0,58:24
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Icebox,Paper Rex,3,3,0,0,Gen.G,13,4,9,0,32:47
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Liquid vs FUT Esports,Lotus,Team Liquid,13,11,2,0,FUT Esports,1,0,1,0,45:25
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Team Secret vs ZETA DIVISION,Lotus,Team Secret,11,7,4,0,ZETA DIVISION,13,8,5,0,1:11:35
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,Split,LOUD,9,6,3,0,Sentinels,13,7,6,0,48:58
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Sunset,KOI,2,2,0,0,Karmine Corp,13,3,10,0,32:23
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Haven,GIANTX,13,7,6,0,Natus Vincere,8,3,5,0,43:41
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,Haven,DRX,9,3,6,0,TALON,13,4,9,0,47:55
VCT 2025: China Stage 2,Group Stage,Week 2,Dragon Ranger Gaming vs All Gamers,Lotus,Dragon Ranger Gaming,5,3,2,0,All Gamers,13,4,9,0,51:09
VCT 2025: China Stage 2,Group Stage,Week 4,Bilibili Gaming vs EDward Gaming,Lotus,Bilibili Gaming,13,9,4,0,EDward Gaming,6,3,3,0,56:47
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Ascent,Rex Regum Qeon,13,9,4,0,Paper Rex,6,3,3,0,43:22
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Lotus,Nova Esports,4,3,1,0,Trace Esports,13,4,9,0,37:59
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Fracture,G2 Esports,11,7,4,0,LEVIATÁN,13,8,5,0,55:09
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Corrode,Mega Minors,13,9,4,0,FNATIC,3,0,3,0,40:34
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Lotus,Nongshim RedForce,13,9,4,0,Team Secret,3,0,3,0,35:21
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Bind,DRX,4,4,0,0,Nongshim RedForce,13,5,8,0,40:26
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Ascent,Gen.G,8,3,5,0,BOOM Esports,13,4,9,0,1:09:34
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,T1,13,6,7,0,Rex Regum Qeon,10,4,6,0,1:08:01
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Split,TALON,13,8,5,0,Nongshim RedForce,5,1,4,0,42:15
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,Fracture,FNATIC,13,6,7,0,Natus Vincere,11,5,6,0,1:01:43
VCT 2025: Pacific Stage 1,Group Stage,Week 2,DRX vs DetonatioN FocusMe,Ascent,DRX,13,6,7,0,DetonatioN FocusMe,8,2,6,0,47:46
VCT 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,Haven,T1,7,5,2,0,TALON,13,6,7,0,48:22
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Icebox,DRX,13,9,4,0,TALON,4,1,3,0,1:00:16
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Fracture,EDward Gaming,13,7,6,0,Bilibili Gaming,8,3,5,0,58:17
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Haven,100 Thieves,6,4,2,0,LOUD,13,5,8,0,51:00
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,100 Thieves,13,4,9,0,Mega Minors,11,3,8,0,52:32
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Pearl,G2 Esports,16,6,6,4,100 Thieves,14,6,6,2,1:10:55
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,Bind,MIBR,9,8,1,0,100 Thieves,13,9,4,0,51:35
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Abyss,Sentinels,13,9,4,0,MIBR,5,2,3,0,42:35
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Haven,Cloud9,13,4,9,0,Evil Geniuses,10,2,8,0,57:15
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Icebox,Cloud9,14,4,8,2,100 Thieves,12,4,8,0,58:37
VCT 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Pearl,Evil Geniuses,14,6,6,2,LOUD,12,6,6,0,1:19:08
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Icebox,KRÜ Esports,5,3,2,0,MIBR,13,4,9,0,36:49
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,T1,13,8,5,0,TALON,9,5,4,0,49:31
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,LEVIATÁN vs FURIA,Haven,LEVIATÁN,13,9,4,0,FURIA,8,5,3,0,58:40
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Abyss,Bilibili Gaming,4,4,0,0,Rex Regum Qeon,13,5,8,0,40:38
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Corrode,G2 Esports,11,6,5,0,Evil Geniuses,13,7,6,0,1:09:50
VCT 2025: Pacific Stage 2,Group Stage,Week 1,BOOM Esports vs TALON,Bind,BOOM Esports,8,3,5,0,TALON,13,4,9,0,1:20:55
VCT 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Fracture,TALON,13,10,3,0,Team Secret,2,0,2,0,28:10
VCT 2025: EMEA Stage 2,Showmatch,Main Event,Team France vs Team EMEA,Corrode,Team France,7,5,2,0,Team EMEA,13,6,7,0,40:26
VCT 2025: Pacific Stage 2,Group Stage,Week 1,ZETA DIVISION vs DetonatioN FocusMe,Haven,ZETA DIVISION,1,1,0,0,DetonatioN FocusMe,13,2,11,0,38:19
VCT 2025: China Stage 2,Group Stage,Week 2,FunPlus Phoenix vs Nova Esports,Haven,FunPlus Phoenix,6,4,2,0,Nova Esports,13,5,8,0,59:30
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Split,Sentinels,13,11,2,0,100 Thieves,1,0,1,0,32:58
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Fracture,EDward Gaming,13,11,2,0,G2 Esports,4,3,1,0,35:06
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Sunset,Paper Rex,13,7,6,0,Team Liquid,5,0,5,0,34:05
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Team Liquid vs Karmine Corp,Lotus,Team Liquid,13,9,4,0,Karmine Corp,6,3,3,0,38:02
VCT 2025: EMEA Stage 1,Group Stage,Week 5,FNATIC vs Team Heretics,Haven,FNATIC,5,4,1,0,Team Heretics,13,5,8,0,45:48
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,Split,MIBR,11,4,7,0,Sentinels,13,5,8,0,55:23
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,FNATIC,10,9,1,0,BBL Esports,13,10,3,0,1:01:55
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Bind,Team Vitality,13,7,6,0,Team Liquid,7,2,5,0,46:10
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Abyss,Mega Minors,13,11,1,1,FNATIC,15,11,1,3,1:03:33
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,13,6,7,0,BBL Esports,11,5,6,0,50:17
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Icebox,Team Vitality,7,7,0,0,BBL Esports,13,8,5,0,45:57
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,Sunset,T1,13,9,4,0,ZETA DIVISION,6,3,3,0,36:01
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Icebox,Bilibili Gaming,13,6,6,1,Trace Esports,15,6,6,3,1:04:30
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,DRX,11,5,6,0,Paper Rex,13,6,7,0,58:51
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Haven,Sentinels,13,9,4,0,LOUD,5,2,3,0,36:15
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,DRX,13,8,5,0,Mega Minors,4,0,4,0,43:25
VCT 2025: Pacific Stage 2,Group Stage,Week 4,BOOM Esports vs ZETA DIVISION,Corrode,BOOM Esports,9,3,6,0,ZETA DIVISION,13,4,9,0,52:28
VCT 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Lotus,FUT Esports,14,3,9,2,KOI,12,3,9,0,56:26
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Fracture,Team Liquid,12,8,4,0,FNATIC,14,8,4,2,55:57
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,Karmine Corp,13,7,6,0,Natus Vincere,6,1,5,0,51:52
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,Rex Regum Qeon,7,7,0,0,FNATIC,13,8,5,0,45:03
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus,Team Heretics,13,8,5,0,T1,10,6,4,0,51:06
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Natus Vincere vs GIANTX,Split,Natus Vincere,13,12,1,0,GIANTX,0,0,0,0,29:17
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DetonatioN FocusMe vs BOOM Esports,Ascent,DetonatioN FocusMe,6,4,2,0,BOOM Esports,13,5,8,0,42:07
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Pearl,2Game Esports,6,0,6,0,KRÜ Esports,13,1,12,0,44:57
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Ascent,FURIA,4,4,0,0,LEVIATÁN,13,5,8,0,45:56
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs 2Game Esports,Abyss,KRÜ Esports,13,10,3,0,2Game Esports,3,1,2,0,50:41
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sunset,FURIA,4,2,2,0,Sentinels,13,3,10,0,41:59
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,Icebox,Team Liquid,13,6,7,0,FNATIC,11,5,6,0,54:25
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Pearl,Gen.G,13,8,5,0,Global Esports,7,3,4,0,45:44
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,13,5,8,0,BBL Esports,7,0,7,0,46:28
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Nongshim RedForce,Icebox,DRX,13,7,6,0,Nongshim RedForce,5,0,5,0,1:02:37
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Lotus,GIANTX,5,3,2,0,FNATIC,13,4,9,0,43:53
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,Ascent,BBL Esports,13,7,6,0,FUT Esports,10,5,5,0,56:55
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,11,7,4,0,Dragon Ranger Gaming,13,8,5,0,1:07:57
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Xi Lai Gaming,Haven,Nova Esports,3,2,1,0,Xi Lai Gaming,13,3,10,0,32:21
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Pearl,Natus Vincere,8,3,5,0,Team Heretics,13,4,9,0,1:04:30
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Icebox,MIBR,13,4,9,0,LEVIATÁN,8,0,8,0,52:57
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,Icebox,Mega Minors,5,3,2,0,MIBR,13,4,9,0,41:04
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,Sentinels,13,9,4,0,Cloud9,9,6,3,0,1:30:48
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,T1,13,9,4,0,Trace Esports,3,0,3,0,45:37
VCT 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Lotus,T1,5,3,2,0,Rex Regum Qeon,13,4,9,0,42:06
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,DRX,13,7,6,0,Paper Rex,8,3,5,0,46:28
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven,Cloud9,13,7,6,0,FURIA,5,0,5,0,51:54
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Rex Regum Qeon vs Global Esports,Corrode,Rex Regum Qeon,7,3,4,0,Global Esports,13,4,9,0,46:06
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,Corrode,Nongshim RedForce,13,9,4,0,Global Esports,7,4,3,0,59:51
VCT 2025: China Stage 2,Group Stage,Week 2,TYLOO vs Titan Esports Club,Haven,TYLOO,13,10,3,0,Titan Esports Club,2,0,2,0,46:21
VCT 2025: China Stage 2,Group Stage,Week 4,All Gamers vs FunPlus Phoenix,Bind,All Gamers,13,9,4,0,FunPlus Phoenix,8,5,3,0,50:43
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Icebox,Bilibili Gaming,13,8,5,0,Sentinels,9,5,4,0,52:30
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,FNATIC,13,11,2,0,DRX,3,2,1,0,44:54
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind,100 Thieves,13,9,4,0,Mega Minors,10,7,3,0,1:03:22
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,Haven,T1,13,8,5,0,DetonatioN FocusMe,9,5,4,0,47:41
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Fracture,Gentle Mates,9,8,1,0,KOI,13,9,4,0,46:26
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Fracture,KRÜ Esports,13,6,7,0,100 Thieves,10,4,6,0,49:14
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,T1,12,8,4,0,Team Vitality,14,8,4,2,1:09:37
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Corrode,Mega Minors,13,8,5,0,G2 Esports,10,6,4,0,56:09
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,10,5,5,0,KOI,13,6,7,0,49:30
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Ascent,Gentle Mates,14,10,2,2,Team Heretics,12,10,2,0,55:23
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Sunset,Paper Rex,13,8,5,0,FNATIC,11,7,4,0,57:40
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,17,2,10,5,EDward Gaming,15,2,10,3,1:14:38
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,Lotus,Paper Rex,14,5,7,2,Wolves Esports,12,5,7,0,58:44
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,KRÜ Esports,11,3,8,0,Evil Geniuses,13,4,9,0,56:08
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,Team Vitality,7,3,4,0,Team Liquid,13,4,9,0,44:42
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,13,6,7,0,Xi Lai Gaming,9,3,6,0,48:56
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,10,7,3,0,Team Heretics,13,8,5,0,56:24
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Lotus,Sentinels,13,8,5,0,Cloud9,10,6,4,0,53:20
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Pearl,TALON,3,1,2,0,Gen.G,13,2,11,0,36:32
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Fracture,Rex Regum Qeon,11,5,6,0,DRX,13,6,7,0,1:00:04
VCT 2025: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Icebox,G2 Esports,13,8,5,0,Cloud9,5,1,4,0,48:28
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Icebox,MIBR,13,9,4,0,100 Thieves,4,1,3,0,37:57
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Abyss,Cloud9,10,2,8,0,MIBR,13,3,10,0,53:31
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Bind,Mega Minors,7,4,3,0,KRÜ Esports,13,5,8,0,46:50
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Haven,Xi Lai Gaming,13,7,6,0,Sentinels,8,3,5,0,46:27
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Haven,Rex Regum Qeon,13,7,6,0,T1,7,2,5,0,44:12
VCT 2025: China Stage 2,Group Stage,Week 3,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,6,6,0,0,Dragon Ranger Gaming,13,7,6,0,44:14
VCT 2025: China Stage 2,Group Stage,Week 4,EDward Gaming vs JDG Esports,Lotus,EDward Gaming,10,6,4,0,JDG Esports,13,7,6,0,51:45
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Sunset,Dragon Ranger Gaming,13,10,3,0,Bilibili Gaming,2,0,2,0,52:52
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Fracture,BBL Esports,13,6,7,0,Natus Vincere,10,4,6,0,55:46
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Haven,TALON,13,9,4,0,Nongshim RedForce,9,6,3,0,1:09:46
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Split,KRÜ Esports,13,4,9,0,LOUD,10,2,8,0,59:53
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Ascent,Sentinels,10,7,3,0,G2 Esports,13,8,5,0,55:21
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Pearl,FNATIC,13,9,4,0,Natus Vincere,9,6,3,0,1:05:22
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Pearl,Nongshim RedForce,13,9,4,0,BOOM Esports,3,0,3,0,50:29
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,Mega Minors,13,9,4,0,FNATIC,5,2,3,0,42:18
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,5,5,0,0,Wolves Esports,13,6,7,0,45:22
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,DRX,13,8,5,0,Gen.G,10,6,4,0,52:46
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Fracture,Bilibili Gaming,13,5,8,0,Trace Esports,8,1,7,0,1:01:18
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Lotus,G2 Esports,13,8,5,0,T1,5,1,4,0,55:22
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,Abyss,G2 Esports,13,9,4,0,Cloud9,8,5,3,0,48:17
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Sunset,Nongshim RedForce,8,5,3,0,Team Secret,13,6,7,0,51:34
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Sunset,Dragon Ranger Gaming,13,5,8,0,Bilibili Gaming,11,4,7,0,53:15
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Lotus,TALON,8,5,3,0,Rex Regum Qeon,13,6,7,0,1:04:58
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Ascent,Dragon Ranger Gaming,13,7,6,0,EDward Gaming,9,4,5,0,44:30
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Lotus,G2 Esports,13,11,2,0,Mega Minors,1,0,1,0,39:18
